"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source"
"Sahoo, P.; Gala, J.; Saha, S.; Chowdhury, S.; Mondal, S.","Sahoo, Pranab (57944692600); Gala, Jay (58712375100); Saha, Sriparna (17435835500); Chowdhury, Sujit (57225833537); Mondal, Samrat (24776750000)","57944692600; 58712375100; 17435835500; 57225833537; 24776750000","PFSNet: A prototypical federated siamese network for few-shot cervical cancer detection","2026","Biomedical Signal Processing and Control","0","10.1016/j.bspc.2025.109265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022852028&doi=10.1016%2Fj.bspc.2025.109265&partnerID=40&md5=054106d889c9dad22bf8df7770628c35","Cervical cancer stands as one of the leading causes of mortality among women worldwide. Although Pap smear imaging is a widely adopted screening method, large-scale population screening remains resource-intensive, costly, and heavily reliant on specialized medical expertise. The existing landscape of deep learning-based studies faces limitations due to long-tailed distributions and the scarcity of well-annotated, high-quality Pap smear images. In response to these challenges, we introduce a multi-stage, few-shot architecture integrating a federated Siamese network with a Prototypical network. This innovative approach addresses the critical need for more efficient and accurate cervical cancer screening methods, particularly in resource-constrained settings. In the initial stage, we propose a federated optimization technique to pre-train a Siamese encoder utilizing multiple clients, which subsequently acts as a backbone in the subsequent prototypical network for cervical cancer classification. The obtained outcomes reveal a notable accuracy improvement of 2.16% compared to the vanilla prototypical network and a 1.02% enhancement over state-of-the-art techniques, particularly in a 20-shot setting. Our proposed method achieves superior performance while also enabling scalability and enhanced accessibility for cervical cancer screening, thus contributing to more effective early detection and better patient outcomes. © 2025 Elsevier Ltd","","Article","Final","","Scopus"
"Feng, J.; Jiang, H.; Chen, Y.; Liu, Z.; Zhou, X.","Feng, Jianxiong (60199843900); Jiang, Huiyan (14628756900); Chen, Yizhou (59498888100); Liu, Zhimin (60068426200); Zhou, Xiangrong (55643005500)","60199843900; 14628756900; 59498888100; 60068426200; 55643005500","HBTF-Net: A hierarchical Bayesian multi-task fusion network for joint classification and segmentation of cervical cells","2026","Biomedical Signal Processing and Control","0","10.1016/j.bspc.2025.109192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022196484&doi=10.1016%2Fj.bspc.2025.109192&partnerID=40&md5=6f1709bee59a5461dceb66e418efdea2","Cervical cancer remains a leading cause of cancer-related mortality among women worldwide. While cytology-based screening is the primary diagnostic approach, conventional manual interpretation suffers from inter-observer variability and limited efficiency. Existing deep learning methods struggle to robustly model morphological variability, disentangle shape and texture features, and quantify prediction uncertainty in cervical cell analysis. We propose HBTF-Net, a novel Hierarchical Bayesian Multi-Task Fusion Network for joint cervical cell segmentation and classification. The framework incorporates three key innovations: a Shape-Texture Feature Decoupling Module (SAFT) employing dual-path encoders within a probabilistic generative model to disentangle latent distributions of shape and texture features; a Classification-Attention Joint Aggregation (CAJA) module integrating multi-scale features via cascaded attention mechanisms including the Convolutional Block Attention Module (CBAM) and the Local–Global Attention Transform (LGAT); and a composite loss function combining variational inference, cross-entropy, and hybrid Dice losses for end-to-end optimization. Variational inference and reparameterization techniques ensure efficient learning and uncertainty quantification. Comprehensive experiments were conducted on both a private dataset (HJPD, 1,555 images across 7 categories) and a public benchmark (DSCC, 15,509 images). HBTF-Net demonstrated superior performance across all metrics, achieving 69.13% accuracy on HJPD and 92.26% on DSCC for classification, with 96.96% and 97.14% Dice coefficients for segmentation, respectively. Ablation studies confirmed the synergistic benefits of Bayesian modeling and multi-task learning, while cross-dataset generalization experiments validated the SAFT module's transferability across different staining protocols. HBTF-Net presents an effective solution for interpretable and accurate cervical cytology analysis, offering enhanced uncertainty quantification and feature interpretability crucial for clinical decision-making. The explicit shape-texture decoupling and hierarchical Bayesian framework provide valuable insights for computer-aided cervical cancer screening systems. © 2025 Elsevier Ltd","","Article","Final","","Scopus"
"Abu-Azzam, O.H.; Amin, M.; Sindiani, A.M.; Madain, R.; Abu Mhanna, H.Y.; Alhatamleh, S.; Alqasem, N.; Gharaibeh, H.; Akhdar, H.F.; Anakreh, D.; Maashey, F.; Alghulayqah, L.","Abu-Azzam, Omar H. (57216819954); Amin, Mohammad (59481151200); Sindiani, Amer Mahmoud (57202395322); Madain, Rola (57212551977); Abu Mhanna, Hamad Yahia (57640096100); Alhatamleh, Salem (59549929600); Alqasem, Noor (59481261600); Gharaibeh, Hasan (57222468680); Akhdar, Hanan Fawaz (57118271400); Anakreh, Duha (59701250700); Maashey, Fatimah (59938135100); Alghulayqah, Latifah (59937772000)","57216819954; 59481151200; 57202395322; 57212551977; 57640096100; 59549929600; 59481261600; 57222468680; 57118271400; 59701250700; 59938135100; 59937772000","Enhanced cervical cancer diagnosis using MobileNetV2 with transformer-based feature refinement and global attention mechanism","2026","Biomedical Signal Processing and Control","0","10.1016/j.bspc.2025.109178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021552487&doi=10.1016%2Fj.bspc.2025.109178&partnerID=40&md5=8b6f0da584b60c8a08ddacf683afb66a","Background and purpose: Early detection of cervical cancer is crucial to reducing mortality rates associated with this common malignancy in women. Computer-aided design (CAD) techniques are often used to assist physicians in diagnosing this type of cancer early. This research aimed to accurately diagnose cervical cancer using deep learning techniques applied to cervical MRI scans. Materials and methods: This study used the KAUH-CCMD dataset, which includes 1,974 cervical MRI images collected from 500 women at King Abdullah University Hospital (KAUH) in Jordan. The researchers implemented a deep learning model based on MobileNetV2, enhanced with Transformer Blocks to analyze relationships between image segments. A global attention mechanism (GAMBlock) was used to identify the most significant features. Bayesian optimization was applied to tune hyperparameters such as dropout probability and learning rate to enhance model performance. Results: The proposed model achieved an accuracy of 85.86% in diagnosing cervical cancer, outperforming several pre-trained models, including MobileNetV2, VGG16, VGG19, InceptionV3, and Xception. Conclusion: The proposed deep learning method demonstrates high potential for assisting physicians in the early detection of cervical cancer. Its success suggests that similar approaches could be applied in the future to address other medical diagnostic challenges. © 2025 The Author(s)","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Gong, L.; Liu, L.; Liu, G.; Bai, H.; Wang, D.; Wang, H.","Gong, Lijun (60041233200); Liu, Liying (59358144500); Liu, Guangcong (55531299000); Bai, Haoyan (60041025200); Wang, Danbo (36496116000); Wang, Hongkai (52365086000)","60041233200; 59358144500; 55531299000; 60041025200; 36496116000; 52365086000","PLNM-YOLO: Pelvic lymph node metastasis detection algorithm in gynaecological tumours based on edge-aware and multi-scale feature fusion","2026","Biomedical Signal Processing and Control","1","10.1016/j.bspc.2025.108358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013120325&doi=10.1016%2Fj.bspc.2025.108358&partnerID=40&md5=6d11d671fceee828cd0f0fd6ce0586b1","During progression of gynaecological tumours, pelvic lymph node metastasis serves as a critical determinant of clinical staging, therapeutic decision-making, and prognosis. Its presence signifies disease progression to advanced stages, substantially elevating therapeutic complexity and mortality risks. However, due to the small size of lymph nodes and adhesion between lesions and surrounding tissues causing imaging contrast imbalance, the detection difficulty is greatly increased. Therefore, we propose a precise detection model for pelvic lymph node metastasis based on YOLO11. First, to enhance the expression of lymph node edge features, we design a Multi-scale Feature and Edge information extraction Convolution (MFEConv) module which improves backbone network feature extraction by combining multi-scale depthwise convolutions and differential convolution blocks. Secondly, the Feature Channel Selection aggregation Module (FCSM) is proposed, which uses the adaptive channel weight control mechanism to automatically select key information, so as to retain important discriminant features more accurately when fusing multi-scale features. Finally, to enhance the localization precision of lymph node detection, we construct the NWD-CIoU composite loss function. This function compensates for the positional sensitivity limitations of traditional IoU in small targets by incorporating the Normalized Gaussian Wasserstein Distance (NWD). Experiments on a dataset of 1,258 pelvic enhanced CT scans demonstrate that our improved model outperforms the baseline YOLO11, achieving a 6.6% increase in mAP@50, 8.5% higher precision, 1.3% improved recall, and 4.4% higher F1-score. This provides more reliable and efficient technical support for precise diagnosis and treatment of pelvic lymph node metastasis in gynaecological tumours. © 2025 Elsevier Ltd","","Article","Final","","Scopus"
"Idumah, G.; Li, L.; Yehia, L.; Mahdi, H.; Ni, Y.","Idumah, Gideon (57385647800); Li, Lin (56532789700); Yehia, Lamis (55027255600); Mahdi, Haider S. (34880217100); Ni, Ying (36871817200)","57385647800; 56532789700; 55027255600; 34880217100; 36871817200","Metabolic signatures of immune checkpoint inhibitor response in gynecologic cancers: Insights from flux balance analysis","2026","Computers in Biology and Medicine","0","10.1016/j.compbiomed.2025.111366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023969714&doi=10.1016%2Fj.compbiomed.2025.111366&partnerID=40&md5=0e76dccb1a25fbb5d5615482a16656df","Modifiers of immune checkpoint inhibitor (ICI) responses in cancer patients are complex and remain poorly characterized, especially in gynecologic cancers. In this study, we explored fluxomic biomarkers that differentiate responders from non-responders to ICIs in a series of 49 patients with gynecologic cancers, including ovarian, cervical, and endometrial cancers. By applying metabolic enzyme expression as constraints, we utilized an objective-customizable flux balance analysis within a genome-scale metabolic model to predict the metabolic flux differences between responders versus non-responders of ICI treatment. We identified three reactions with consistent differential activity across all ten different optimization objectives: Succinate Dehydrogenase (SUCD1m) in the citric acid cycle, NADH: Guanosine-5-Phosphate Oxidoreductase (r0276) involved in purine catabolism, and Ornithine Transaminase Reversible, Mitochondrial (ORNTArm) in the urea cycle. Additionally, reactions within the folate cycle subsystem, particularly involving MTHFD2, demonstrated significance in distinguishing treatment responses, aligning with previous findings linking MTHFD2 to immune evasion and tumor progression. To further analyze the association between metabolic features and survival outcomes, we implemented machine learning models that integrate multi-omics data. Our model included clinical-pathologic, molecular-genomic features (gene expression, TGF-β score, immune cell abundance from transcriptomic deconvolution), and significant reaction fluxes. Our findings suggest that SUCD1m, MTHFDm and ORNTArm are important metabolic biomarkers that could serve as predictive indicators for ICI response and, if validated in a larger cohort, may guide the development of targeted therapies to enhance treatment efficacy for gynecologic cancer patients. This study highlights the use of genome-scale metabolic modeling to identify clinically relevant biomarkers and improve therapeutic strategies. © 2025 Elsevier Ltd.","41352134","Article","Final","","Scopus"
"Al-Hejri, A.M.; Al-Tam, R.M.; Sable, A.H.; Almuhaya, B.; Alshamrani, S.S.; Alshmrany, K.M.","Al-Hejri, Aymen M. (57766004500); Al-Tam, Riyadh M. (58045670900); Sable, Archana Harsing (57190844600); Almuhaya, Basheer (58729150900); Alshamrani, Sultan S. (56825932900); Alshmrany, Kaled M. (57219492207)","57766004500; 58045670900; 57190844600; 58729150900; 56825932900; 57219492207","A hybrid vision transformer with ensemble CNN framework for cervical cancer diagnosis","2025","BMC Medical Informatics and Decision Making","0","10.1186/s12911-025-03250-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020992958&doi=10.1186%2Fs12911-025-03250-x&partnerID=40&md5=8cfcb6d5d6f058afe1260b55046efc3e","Cervical cancer is the leading cause of cancer-related deaths among women worldwide, necessitating early and accurate detection methods. This study introduces a hybrid framework utilizing Vision Transformers (ViT) and ensemble learning-based convolutional neural networks (CNN) models for cervical cancer classification based on Pap smear images. Two prominent datasets, Mendeley LBC and SIPaKMeD, are employed, encompassing nine distinct categories of cervical cell abnormalities. The proposed approach integrates pre-trained CNN models of DenseNet201, Xception, and InceptionResNetV2 to extract high-level features, further fused through ensemble learning. These features are then processed by the ViT-based encoder model designed for improved interpretability and accuracy. Experimental results demonstrate that the hybrid model achieves superior accuracy rates of 97.26%, a recall of 97.27%, a precision of 97.27%, and 96.70% for the F1-score on the Mendeley LBC dataset. For the SIPaKMeD dataset, there was an accuracy of 99.18%, a recall of 99.18%, a precision of 99.15%, and a 99.21% F1-score. On the combined dataset, the model outperformed individual pre-trained models with 95.10% accuracy and a 95.01% F1-score. Moreover, the framework incorporates augmentation with Explainable AI (XAI) techniques, specifically Grad-CAM, to provide transparent and interpretable diagnostic outcomes, enhancing its utility in clinical settings. This research underscores the potential of hybrid AI frameworks in revolutionizing cervical cancer diagnostics by offering accurate, efficient, and interpretable solutions. © The Author(s) 2025.","41194237","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Wang, W.; Yang, G.; Liu, Y.; Wei, L.; Xu, X.; Zhang, C.; Pan, Z.; Liang, Y.; Yang, B.; Qiu, J.; Zhang, F.; Hou, X.; Hu, K.; Liang, X.","Wang, Weiping (57195247490); Yang, Guang (60029454600); Liu, Yulin (60029473700); Wei, Lichun (7402951429); Xu, Xiaoying (55706274300); Zhang, Chulong (57847875100); Pan, Zhaohong (60029437500); Liang, Yongguang (57263473500); Yang, Bo (57211859520); Qiu, Jie (53463970200); Zhang, Fuquan (59666553300); Hou, Xiaorong (55856936400); Hu, Ke (57199837535); Liang, Xiaokun (57190383673)","57195247490; 60029454600; 60029473700; 7402951429; 55706274300; 57847875100; 60029437500; 57263473500; 57211859520; 53463970200; 59666553300; 55856936400; 57199837535; 57190383673","Multimodal deep learning model for prognostic prediction in cervical cancer receiving definitive radiotherapy: a multi-center study","2025","npj Digital Medicine","0","10.1038/s41746-025-01903-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012523342&doi=10.1038%2Fs41746-025-01903-9&partnerID=40&md5=57348751a8a9cf3914d835cf0e31173b","For patients with locally advanced cervical cancer (LACC), precise survival prediction models could guide personalized treatment. We developed and validated CerviPro, a deep learning-based multimodal prognostic model, to predict disease-free survival (DFS) in 1018 patients with LACC receiving definitive radiotherapy. The model integrates pre- and post-treatment CT imaging, handcrafted radiomic features, and clinical variables. CerviPro demonstrated robust predictive performance in the internal validation cohort (C-index 0.81), and external validation cohorts (C-index 0.70&0.66), significantly stratifying patients into distinct high- and low-risk DFS groups. Multimodal feature fusion consistently outperformed models based on single feature categories (clinical data, imaging, or radiomics alone), highlighting the synergistic value of integrating diverse data sources. By integrating multimodal data to predict DFS and recurrence risk, CerviPro provides a clinically valuable prognostic tool for LACC, offering the potential to guide personalized treatment strategies. © The Author(s) 2025.","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Bilal, O.; Hekmat, A.; Khan, S.U.R.","Bilal, Omair (58904690300); Hekmat, Arash (57321227300); Khan, Saif Ur Rehman (57222341560)","58904690300; 57321227300; 57222341560","Automated cervical cancer cell diagnosis via grid search-optimized multi-CNN ensemble networks","2025","Network Modeling Analysis in Health Informatics and Bioinformatics","12","10.1007/s13721-025-00563-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010861834&doi=10.1007%2Fs13721-025-00563-9&partnerID=40&md5=451926b086eb78d8b6f4d833076f3501","Cervical cancer remains a critical public health challenge, especially in developing countries where mortality rates are alarmingly high. Accurate classification of cervical cancer cells is crucial due to the inherent complexity and variability in cellular images. Single models often struggle to fully capture the intricate patterns present in complex cell images, necessitating the use of ensemble methods to combine the collective strengths of various models. While previous models have utilized ensemble methods, there is still a significant demand for improved classification performance. This study presents an optimized ensemble method known as Cervi-Net, specifically designed to enhance the classification of cervical cancer cells. Our Cervi-Net model adeptly integrates three top performing well known pre-trained convolutional neural network (CNN) models including DenseNet169, MobileNetV2, and DenseNet201 to make them as base models. Importantly, we utilize grid search to intelligently assign weights to each base model to maximize their contributions for enhancing their collective accuracy. Evaluating the Cervi-Net model on the Mendeley LBC cervical Benchmark dataset (4-classes) reveals a remarkable overall diagnostic accuracy of 97.94%. Furthermore, we employ visualization techniques to highlight infected areas in test images, while ROC plots further assess the performance of proposed model. Additionally, statistical validation through the McNemar test supports the robustness of the model. These results demonstrate that Cervi-Net is a reliable and effective tool for assisting medical professionals in the early and accurate diagnosis of cervical cancer. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2025.","","Article","Final","","Scopus"
"Arage, F.G.; Tadese, Z.B.; Taye, E.A.; Tsegaw, T.K.; Abate, T.G.; Alemu, E.A.","Arage, Fetlework Gubena (59466603300); Tadese, Zinabu Bekele (58726184500); Taye, Eliyas Addisu (59554564700); Tsegaw, Tigist Kifle (59124754500); Abate, Tsegasilassie Gebremariam (59554626700); Alemu, Eyob Akalewold (59554393500)","59466603300; 58726184500; 59554564700; 59124754500; 59554626700; 59554393500","Cervical cancer screening uptake and its associated factor in Sub-Sharan Africa: a machine learning approach","2025","BMC Medical Informatics and Decision Making","1","10.1186/s12911-025-03039-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006428293&doi=10.1186%2Fs12911-025-03039-y&partnerID=40&md5=5ff62c05888e7bd0ac54022a786bb829","Introduction: Cervical cancer, which includes squamous cell carcinoma and adenocarcinoma, is a leading cause of cancer-related deaths globally, particularly in low- and middle-income countries (LMICs). It is preventable through early screening, but incidence and mortality rates are significantly higher in LMICs, with 94% of deaths occurring in these regions. Poor implementation of screening programs, in addition to multiple health system barriers, leads to a high burden from cervical cancer in these countries. Projections show increasing cases and deaths due to the disease by 2030. Using machine learning instead of the usual statistical tests will incorporate the complex and non-linear relationship of factors in predicting the outcome variable. Method: The secondary data for ten Sub-Saharan African countries were utilized from the Demographic and Health Survey, DHS, to evaluate cervical cancer screening uptake among women aged 25–49 years. During cleaning missing values and outliers were removed. Class balancing by Synthetic minority oversampling techniques (SMOT) was done and tuning hyperparameters via grid search was used in the models before splitting into training and validation sets containing 89% and 20%, respectively. The following machine learning classification algorithms were used in the study: Logistic Regression, Decision Tree Classifier, Random Forest, K-Nearest Neighbor, Gradient Boosting, AdaBoost, and Extra Trees. These algorithms were employed to predict cervical cancer screening uptake. The performance of the models was evaluated using accuracy, precision, recall, and F1 score. Result: In this study, a cervical cancer screening uptake was predicted among 75,360 weighted samples of women from an African country, aged 25–49 with the final data for model formulation of 53,461, where the Extra Trees Classifier obtained an accuracy of 94.13%, a precision of 95.76%, recall of 94.12%, F1-score of 93.80%. Then followed Random Forest: accuracy = 93.87, precision = 99.18%. Health visits, proximity to health care, using contraceptives, residing in urban settings, and exposure to media were its most crucial predictors. The ensemble methods, such as Extra Trees and Random Forest, showed the best generalization, indicating that this work well on complex datasets and can help devise targeted intervention strategies. Conclusion: This study demonstrates that the ensemble machine learning models, such as Extra Trees Classifier and Random Forest, are promising in predicting cervical cancer screening uptake among African women with accuracies of 94.13% and 93.87%, respectively. Key predictors include healthcare access, sociocultural factors, media exposure, residence in urban areas, and contraceptive use. The findings emphasize the need for a reduction in care barriers and the use of family planning visits and mass media in promoting screening. These results will be validated in different populations in order to find the clinical integration via decision support systems. © The Author(s) 2025.","40420148","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Khare, S.K.; Booth, B.B.; Blanes-Vidal, V.; Petersen, L.K.; Nadimi, E.S.","Khare, Smith K. (56957818600); Booth, B. B. (56663939300); Blanes-Vidal, Victoria (16678181600); Petersen, Lone Kjeld (57221530182); Nadimi, Esmaeil S. (15064398900)","56957818600; 56663939300; 16678181600; 57221530182; 15064398900","An explainable attention model for cervical precancer risk classification using colposcopic images","2025","Computer Methods and Programs in Biomedicine","0","10.1016/j.cmpb.2025.108976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012576232&doi=10.1016%2Fj.cmpb.2025.108976&partnerID=40&md5=5570bba96a7c8762fa706227546a96a0","Background and objective: Cervical cancer remains a major worldwide health issue, with high morbidity and mortality rates if diagnosed and treated at a later stage. Early identification and risk assessment are crucial for preventive interventions. Methods: This paper presents the Cervix-AID-Net model for classifying cervical precancer risk using still images captured from a DYSIS colposcope. The study designs and evaluates the proposed Cervix-AID-Net model to classify high-risk and low-risk cervical precancer classes. The model comprises a Convolutional Block Attention Module (CBAM) and convolutional layers that extract interpretable and representative features from colposcopic images to distinguish high-risk and low-risk cervical precancer. In addition, the proposed Cervix-AID-Net model integrates gradient class activation maps, Local Interpretable Model-agnostic Explanations, CartoonX, and pixel rate distortion techniques to explain model decisions using output feature maps and input features. Results: The evaluation using holdout and ten-fold cross-validation techniques yielded classification accuracies of 99.33% and 99.81%, respectively. The analysis revealed that CartoonX provides meticulous explanations for the decision of the Cervix-AID-Net model due to its ability to provide the relevant piecewise smooth part of the image. The effect of Gaussian noise and blur on the input shows that the performance remains unchanged up to Gaussian noise of 3% and blur of 10%, while the performance decreases thereafter. A comparison study of the proposed model's performance with other deep learning approaches highlights the Cervix-AID-Net model's potential as a supplemental tool for increasing the effectiveness of cervical precancer risk assessment. Conclusions: The proposed method, which incorporates CBAM and explainable artificial intelligence, has the potential to influence the prevention and early detection of cervical cancer. Thus, the proposed framework will help improve patient outcomes and reduce the worldwide burden of this preventable disease. © 2025 The Authors","40773936","Article","Final","All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access","Scopus"
